student_country,days_on_platform,minutes_watched,courses_started,practice_exams_started,practice_exams_passed,minutes_spent_on_exams,purchased
2,151.0,260,22.4,1,1,0,0.93,0
6,87.0,251,0.2,1,1,0,0.88,0
20,127.0,228,8.6,1,1,0,1.72,0
24,71.0,221,2.2,1,1,0,2.38,0
26,123.0,220,4.5,1,1,0,2.2,0
36,5.0,203,2.1,1,1,0,3.53,0
77,47.0,229,38.5,2,1,0,0.7,0
89,71.0,134,72.8,2,1,0,1.25,0
109,71.0,118,23.4,1,1,0,1.62,0
142,94.0,107,40.6,1,1,0,3.62,0
160,112.0,107,43.8,1,1,0,2.8,0
167,71.0,109,0.1,1,1,0,3.75,0
169,155.0,0,40.9,1,1,0,3.15,1
184,47.0,103,43.3,1,1,0,2.77,0
195,157.0,101,0.5,1,1,0,2.95,0
242,71.0,97,41.2,1,1,0,3.4,0
246,57.0,101,42.6,1,1,0,2.53,0
256,105.0,289,6.3,1,1,0,1.18,0
285,159.0,92,89.0,1,1,0,2.63,0
300,71.0,89,39.6,1,1,0,2.38,0
309,54.0,125,70.0,1,1,0,0.83,0
318,157.0,15,68.6,1,1,0,2.12,1
320,34.0,86,1.3,2,1,0,1.55,0
324,112.0,1,60.8,1,1,0,3.03,1
364,9.0,82,2.9,1,2,0,3.63,0
365,39.0,83,47.2,1,1,0,3.0,0
368,74.0,82,58.4,1,1,0,1.9,0
376,54.0,82,2.3,1,1,0,2.23,0
410,112.0,80,41.6,1,1,0,2.55,0
441,71.0,75,44.8,1,1,0,2.97,0
447,157.0,100,77.7,1,1,0,3.92,0
457,157.0,75,30.1,1,1,0,3.93,0
491,6.0,71,38.2,1,1,0,2.88,0
525,54.0,69,40.5,1,1,0,3.58,0
534,114.0,67,0.8,1,1,0,1.32,0
558,71.0,126,162.1,2,1,0,0.88,0
568,72.0,66,10.1,1,2,0,1.4,0
581,71.0,66,4.7,1,1,0,2.12,0
673,48.0,66,97.3,1,1,0,3.82,0
680,44.0,65,35.4,1,1,0,3.32,0
685,116.0,65,1.1,1,3,0,1.66,0
716,47.0,66,18.9,1,1,0,2.3,0
755,47.0,64,72.8,2,1,0,2.88,0
760,123.0,64,26.5,1,1,0,2.63,0
761,15.0,66,1.1,1,1,0,1.33,0
769,78.0,64,260.6,1,2,0,1.95,0
783,47.0,95,21.3,1,1,0,1.42,0
784,71.0,66,271.1,2,2,0,3.4,0
785,71.0,66,7.8,2,1,0,1.25,0
